O1;ASM;;;
554;407;;;
1062;985;;;
726;515;;;
2695;912;;;
938;774;;;
624;517;;;
1585;1208;;;
709;523;;;
698;564;;;
2799;1093;;;
1060;785;;;
1629;910;;;
550;340;;;
967;815;;;
931;714;;;
1290;617;;;
1938;815;;;
1249;858;;;
1758;959;;;
1841;1050;;;
1913;686;;;
1385;1478;;;
2171;945;;;
1177;658;;;
568;472;;;
1862;1452;;;
1883;955;;;
984;602;;;
582;550;;;
598;507;;;
683;760;;;
2068;758;;;
1488;1474;;;
689;606;;;
1360;537;;;
1030;730;;;
1295;1068;;;
1058;744;;;
1528;880;;;
1441;868;;;
655;407;;;
1769;778;;;
993;837;;;
1329;1277;;;
738;665;;;
466;312;;;
2400;1110;;;
797;568;;;
914;581;;;
1003;882;;;
1003;793;;;
586;442;;;
1206;730;;;
811;371;;;
852;513;;;
1097;797;;;
1022;715;;;
1457;1060;;;
1984;1364;;;
1553;872;;;
1843;1156;;;
1326;598;;;
888;525;;;
1234;563;;;
1551;547;;;
1046;442;;;
917;707;;;
1283;840;;;
1804;1115;;;
596;450;;;
1717;719;;;
1125;938;;;
628;521;;;
1415;545;;;
1454;1372;;;
667;406;;;
1255;521;;;
610;465;;;
1688;1287;;;
732;460;;;
1204;742;;;
1839;1285;;;
1253;951;;;
985;647;;;
1057;470;;;
623;602;;;
520;505;;;
1692;831;;;
685;625;;;
914;448;;;
1267;521;;;
1435;1335;;;
1184;385;;;
4776;2763;;;
1496;927;;;
1610;876;;;
497;266;;;
581;365;;;
483;383;;;
1479;870;;;
1331;1153;;;
1024;835;;;
517;575;;;
2497;1686;;;
1974;699;;;
1285;548;;;
1842;1011;;;
1482;683;;;
1538;1060;;;
2209;1693;;;
630;394;;;
2517;1494;;;
707;547;;;
1595;838;;;
1192;630;;;
922;572;;;
753;478;;;
1608;685;;;
1738;1110;;;
529;492;;;
2139;1303;;;
1498;900;;;
1052;450;;;
1285;916;;;
1767;940;;;
1023;665;;;
403;290;;;
687;432;;;
2150;1006;;;
1297;594;;;
1153;648;;;
757;304;;;
3628;2090;;;
841;600;;;
727;875;;;
1393;1090;;;
1571;1169;;;
1265;870;;;
894;902;;;
463;418;;;
1685;965;;;
2596;1208;;;
2065;847;;;
2513;1147;;;
812;562;;;
767;509;;;
1393;434;;;
1587;1295;;;
1308;675;;;
1441;535;;;
2812;1212;;;
1753;1152;;;
861;338;;;
1027;377;;;
2426;1626;;;
1220;507;;;
608;513;;;
1153;606;;;
754;397;;;
1185;663;;;
2299;884;;;
2337;1056;;;
664;420;;;
637;415;;;
1295;639;;;
1243;618;;;
1940;815;;;
981;726;;;
1239;926;;;
1905;766;;;
617;296;;;
1960;2227;;;
1675;1181;;;
2998;2100;;;
645;565;;;
894;424;;;
608;413;;;
1675;1417;;;
713;484;;;
1814;1263;;;
1085;690;;;
710;602;;;
1172;833;;;
594;572;;;
843;825;;;
1098;841;;;
779;367;;;
1496;517;;;
333;312;;;
1338;677;;;
1007;430;;;
1247;403;;;
639;357;;;
1585;963;;;
555;461;;;
1022;517;;;
1157;778;;;
519;531;;;
1932;900;;;
1056;728;;;
485;551;;;
825;513;;;
2396;1318;;;
967;343;;;
437;296;;;
913;653;;;
1112;797;;;
1088;403;;;
975;327;;;
3056;1240;;;
1178;509;;;
1194;758;;;
2278;1061;;;
695;310;;;
920;497;;;
887;730;;;
1621;683;;;
1609;781;;;
616;495;;;
1719;521;;;
578;367;;;
772;342;;;
1614;785;;;
1491;635;;;
511;296;;;
543;625;;;
1196;403;;;
1680;572;;;
681;434;;;
2644;1843;;;
2426;1211;;;
709;400;;;
1064;718;;;
2578;1362;;;
1336;900;;;
946;411;;;
1413;803;;;
1474;1405;;;
565;456;;;
1443;578;;;
1046;468;;;
1091;488;;;
949;517;;;
1632;782;;;
612;296;;;
284;343;;;
829;677;;;
1158;506;;;
1352;535;;;
1822;882;;;
638;290;;;
2643;1168;;;
906;375;;;
1581;868;;;
1300;699;;;
1032;783;;;
1208;888;;;
1541;1298;;;
1048;556;;;
632;558;;;
1745;868;;;
412;324;;;
2183;1640;;;
685;536;;;
2443;1490;;;
1176;493;;;
2694;2051;;;
1068;480;;;
1695;1097;;;
1387;772;;;
636;632;;;
1145;397;;;
506;505;;;
456;316;;;
1691;1224;;;
959;497;;;
1995;841;;;
752;485;;;
681;393;;;
1281;657;;;
879;375;;;
1194;357;;;
2183;685;;;
1378;1095;;;
662;284;;;
809;600;;;
1483;843;;;
2353;1865;;;
1926;1335;;;
1950;902;;;
1099;758;;;
2321;1374;;;
1456;1065;;;
705;614;;;
1650;1034;;;
1176;872;;;
934;631;;;
2943;1713;;;
971;466;;;
1841;1346;;;
600;577;;;
395;360;;;
1765;1770;;;
510;521;;;
744;572;;;
321;466;;;
545;537;;;
688;523;;;
906;697;;;
715;720;;;
1155;339;;;
740;712;;;
509;456;;;
866;631;;;
1443;953;;;
864;606;;;
1867;1463;;;
910;525;;;
367;586;;;
1529;1421;;;
2154;703;;;
1390;1222;;;
1088;762;;;
1766;2098;;;
584;360;;;
568;648;;;
1782;1237;;;
2627;1409;;;
1295;742;;;
1224;951;;;
910;553;;;
1115;956;;;
837;462;;;
949;560;;;
1800;1729;;;
479;797;;;
1633;1374;;;
898;631;;;
501;507;;;
559;758;;;
1779;981;;;
3192;1232;;;
1386;833;;;
705;642;;;
1616;1061;;;
1107;656;;;
1079;685;;;
803;732;;;
835;448;;;
1084;841;;;
853;938;;;
598;657;;;
735;508;;;
643;602;;;
807;493;;;
2341;1295;;;
858;507;;;
768;474;;;
1718;1017;;;
1602;777;;;
1356;619;;;
953;746;;;
1761;979;;;
472;509;;;
1230;809;;;
322;276;;;
756;612;;;
892;527;;;
